SUBS_ID,DATE_CALC,TARIFF_ID,Выборка,tariff_changed,CHARGE_mean,CHARGE_std,CHARGE_range,CHARGE_median,SUPPORT_4G_mean,SUPPORT_4G_std,SUPPORT_4G_range,SUPPORT_4G_median,SUPPORT_3G_mean,SUPPORT_3G_std,SUPPORT_3G_range,SUPPORT_3G_median,LTE_TRAFF_FLAG_mean,LTE_TRAFF_FLAG_std,LTE_TRAFF_FLAG_range,LTE_TRAFF_FLAG_median,SMS_IN_CNT_mean,SMS_IN_CNT_std,SMS_IN_CNT_range,SMS_IN_CNT_median,SMS_OUT_CNT_mean,SMS_OUT_CNT_std,SMS_OUT_CNT_range,SMS_OUT_CNT_median,CALLS_IN_CNT_mean,CALLS_IN_CNT_std,CALLS_IN_CNT_range,CALLS_IN_CNT_median,CALLS_OUT_CNT_mean,CALLS_OUT_CNT_std,CALLS_OUT_CNT_range,CALLS_OUT_CNT_median,LIFE_TIME_mean,LIFE_TIME_std,LIFE_TIME_range,LIFE_TIME_median,DURATION_IN_MIN_mean,DURATION_IN_MIN_std,DURATION_IN_MIN_range,DURATION_IN_MIN_median,DURATION_OUT_MIN_mean,DURATION_OUT_MIN_std,DURATION_OUT_MIN_range,DURATION_OUT_MIN_median,DATA_TRAFFIC_MB_mean,DATA_TRAFFIC_MB_std,DATA_TRAFFIC_MB_range,DATA_TRAFFIC_MB_median,SESSIONS_CNT_mean,SESSIONS_CNT_std,SESSIONS_CNT_range,SESSIONS_CNT_median,RECHARGE_mean,RECHARGE_std,RECHARGE_range,RECHARGE_median,RECHARGE_CNT_mean,RECHARGE_CNT_std,RECHARGE_CNT_range,RECHARGE_CNT_median
1245,2019-07-01 00:00:00,588.0,1,0,304.6333333333333,88.91913929707896,172.79999999999998,328.9,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,106.33333333333333,27.300793639257694,50,119.0,13.0,2.0,4,13.0,350.6666666666667,43.14317249963583,80,332.0,209.66666666666666,14.742229591663989,28,215.0,5243.666666666667,30.501366089625122,61.0,5244.0,444.3333333333333,3.5118845842842465,7,444.0,304.22666666666663,68.93462579381521,137.73,300.65,13.813333333333333,2.580006459940232,4.5699999999999985,12.43,779.0,54.3415126767741,107,768.0,300.0,327.8719262151,650.0,250.0,1.6666666666666667,1.5275252316519468,3,2.0
1261,2019-07-01 00:00:00,524.0,1,0,310.50000000000006,44.703802970217204,88.30000000000001,318.6,0.0,0.0,0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,286.3333333333333,67.89943544193378,130,309.0,29.333333333333332,8.386497083606082,15,25.0,81.33333333333333,24.378952670968726,46,72.0,126.66666666666667,69.11825615084146,138,122.0,5243.666666666667,30.501366089625122,61.0,5244.0,244.0,178.26104453862038,355,225.0,249.92666666666665,44.75383931388829,87.0,237.78,2459.5633333333335,1015.9505901535435,1964.8300000000002,2160.64,1653.6666666666667,85.231058501777,151,1608.0,320.0,160.93476939431082,320.0,340.0,2.6666666666666665,1.5275252316519468,3,3.0
1325,2019-07-01 00:00:00,130.0,1,0,134.72333333333333,19.691961134771045,37.2,142.19,0.0,0.0,0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,281.0,34.39476704383968,68,275.0,1.3333333333333333,1.5275252316519465,3,1.0,154.0,16.09347693943108,32,156.0,138.66666666666666,24.214320831552005,45,149.0,5243.666666666667,30.501366089625122,61.0,5244.0,338.0,69.41901756723442,137,325.0,304.4766666666667,17.36061730853294,34.610000000000014,306.08,438.75,96.75693050112739,189.61999999999995,461.05,4252.666666666667,3416.5750882035845,6094,2468.0,1453.3333333333333,2300.7462557468903,3990.0,130.0,2.0,0.0,0,2.0
1334,2019-07-01 00:00:00,560.0,1,0,300.0,0.0,0.0,300.0,1.0,0.0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0.0,1.0,16.666666666666668,2.886751345948129,5,15.0,0.3333333333333333,0.5773502691896258,1,0.0,12.0,5.291502622129181,10,10.0,20.333333333333332,4.725815626252609,9,22.0,5243.666666666667,30.501366089625122,61.0,5244.0,14.0,12.165525060596439,22,8.0,58.03,6.851773493045427,13.579999999999991,56.97,6682.626666666666,1217.5339476307563,2428.87,6782.87,1607.3333333333333,165.44586224301088,309,1539.0,316.6666666666667,28.867513459481287,50.0,300.0,1.3333333333333333,0.5773502691896257,1,1.0
1364,2019-07-01 00:00:00,300.0,1,0,180.00333333333333,47.94993256860049,95.45000000000002,185.36,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60.333333333333336,10.598742063723098,21,62.0,1.6666666666666667,2.0816659994661326,4,1.0,193.0,23.811761799581316,45,184.0,65.33333333333333,13.012814197295423,26,66.0,5243.666666666667,30.501366089625122,61.0,5244.0,573.0,76.53103945458993,139,536.0,132.85333333333332,37.942688799468776,71.55000000000001,147.45,0.0,0.0,0.0,0.0,0.6666666666666666,1.1547005383792517,2,0.0,133.33333333333334,152.75252316519467,300.0,100.0,1.3333333333333333,1.5275252316519468,3,1.0
1414,2019-07-01 00:00:00,300.0,1,0,22.2,38.45152792802907,66.6,0.0,1.0,0.0,0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,11.0,5.291502622129181,10,13.0,0.0,0.0,0,0.0,30.0,28.0,52,18.0,11.333333333333334,19.629909152447276,34,0.0,5243.666666666667,30.501366089625122,61.0,5244.0,33.0,16.522711641858304,33,32.0,16.05,27.79941546148048,48.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.333333333333336,57.735026918962575,100.0,0.0,0.6666666666666666,1.1547005383792517,2,0.0
1422,2019-07-01 00:00:00,300.0,1,0,18.400000000000002,5.827520913733386,11.399999999999999,19.8,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,6.027713773341708,12,10.0,0.0,0.0,0,0.0,27.0,3.605551275463989,7,26.0,5.666666666666667,1.5275252316519465,3,6.0,5243.666666666667,30.501366089625122,61.0,5244.0,198.66666666666666,18.823743871327334,34,208.0,39.406666666666666,20.925678802211728,37.91,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.333333333333336,57.735026918962575,100.0,0.0,0.3333333333333333,0.5773502691896258,1,0.0
1439,2019-07-01 00:00:00,135.0,1,0,340.5,23.25403190846697,43.5,350.0,0.0,0.0,0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,73.33333333333333,18.009256878986797,33,65.0,8.333333333333334,3.7859388972001824,7,10.0,84.66666666666667,20.984120980716188,40,92.0,117.33333333333333,21.501937897160182,42,112.0,5243.666666666667,30.501366089625122,61.0,5244.0,548.6666666666666,61.58192375472963,119,567.0,689.5833333333334,106.64524477600176,195.89,738.3,134.89,49.50049393692956,88.62,109.41,202.66666666666666,67.92888438163351,121,167.0,333.3333333333333,28.867513459481287,50.0,350.0,1.0,0.0,0,1.0
1504,2019-07-01 00:00:00,300.0,1,0,138.25,29.94449031124089,54.94999999999999,152.0,1.0,0.0,0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,68.0,9.643650760992955,18,64.0,3.3333333333333335,3.214550253664318,6,2.0,171.66666666666666,50.816663933530045,93,148.0,62.666666666666664,16.623276853055575,33,65.0,5243.666666666667,30.501366089625122,61.0,5244.0,198.33333333333334,51.20872321522314,102,193.0,74.32666666666667,10.78805048807862,18.759999999999998,80.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,173.20508075688772,300.0,0.0,0.3333333333333333,0.5773502691896258,1,0.0
1631,2019-07-01 00:00:00,300.0,1,1,225.76999999999998,151.686008583521,302.76,214.65,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.0,44.666666666666664,9.073771725877467,17,41.0,0.3333333333333333,0.5773502691896258,1,0.0,54.0,9.0,18,54.0,68.0,24.269322199023193,47,75.0,5243.666666666667,30.501366089625122,61.0,5244.0,93.33333333333333,27.227437142216182,52,84.0,110.44333333333334,50.124066408595915,94.61000000000001,129.58,92.46,160.1454176678184,277.38,0.0,131.0,226.8986557915229,393,0.0,183.66666666666666,160.9358050072554,300.0,251.0,1.3333333333333333,1.5275252316519465,3,1.0
